timestamps,TP9,AF7,AF8,TP10,Right AUX
1743892219.363,970.703,986.816,-158.203,971.191,0.000
1743892219.367,970.703,914.551,-139.648,971.191,0.000
1743892219.371,970.703,-990.723,48.828,971.191,0.000
1743892219.375,970.703,899.414,112.305,971.191,0.000
1743892219.379,970.703,-656.250,-32.715,971.191,0.000
1743892219.383,970.703,-1000.000,-115.723,971.191,0.000
1743892219.387,970.703,640.625,-33.203,971.191,0.000
1743892219.390,970.703,-924.316,83.496,971.680,0.000
1743892219.394,970.703,896.973,-46.387,971.191,0.000
1743892219.398,970.703,987.305,-212.891,971.191,0.000
1743892219.402,970.703,971.191,-45.410,971.191,0.000
1743892219.406,970.703,971.680,147.949,971.191,0.000
1743892219.410,970.703,971.680,24.902,971.191,0.000
1743892219.414,970.703,971.191,-190.430,971.191,0.000
1743892219.418,970.703,971.191,-96.680,971.191,0.000
1743892219.422,970.703,971.191,107.910,971.191,0.000
1743892219.426,970.703,984.375,59.570,971.191,0.000
1743892219.429,970.703,925.293,-110.352,971.191,0.000
1743892219.433,970.703,997.070,-140.625,971.680,0.000
1743892219.437,970.703,942.871,41.504,971.191,0.000
1743892219.441,970.703,-454.590,195.801,971.191,0.000
1743892219.445,970.703,-1000.000,-28.809,971.191,0.000
1743892219.449,970.703,-929.688,-163.086,971.680,0.000
1743892219.453,970.703,-1000.000,34.180,971.680,0.000
1743892219.457,970.703,-947.266,153.809,971.191,0.000
1743892219.461,970.703,-1000.000,17.090,971.680,0.000
1743892219.465,970.703,-233.398,-196.289,971.680,0.000
1743892219.469,970.703,998.535,-104.492,971.191,0.000
1743892219.472,970.703,966.797,129.883,971.191,0.000
1743892219.476,970.703,942.383,52.246,971.680,0.000
1743892219.480,970.703,987.305,-156.738,971.191,0.000
1743892219.484,970.703,906.250,-136.719,971.191,0.000
1743892219.488,970.703,-914.062,75.684,971.191,0.000
1743892219.492,970.703,411.621,87.891,971.191,0.000
1743892219.496,970.703,-945.801,-100.098,971.191,0.000
